List Year,Town,Assessed Value,Sale Amount,Sale Ratio
2011,Madison,127695880,146351882.0,1.1460971332826086
2012,Essex,37477200,49734162.0,1.3270511671096026
2012,Wallingford,142352500,169766939.0,1.1925813666777894
2013,North Stonington,14373816,17782180.0,1.2371231133054716
2016,Killingly,53291029,78876557.0,1.480109475836918
2017,East Hampton,54548201,76778903.65625,1.4075423615941065
2018,Middletown,135241704,234288924.0,1.7323718725105681
2019,Chaplin,4692400,7551250.0,1.6092511294859773
2001,Danbury,251284780,509226077.0,2.0264899330552373
2002,Killingworth,30158540,50755223.0,1.6829469530023669
2002,Windsor Locks,37803900,58274128.0,1.5414845558262507
2003,Hartland,3352148,6844450.0,2.0418102064705974
2004,Scotland,3522220,7197293.0,2.043396778168314
2005,Brookfield,87449380,191911630.0,2.194545347262611
2010,Berlin,54314852,74031040.0,1.362998098567957
2010,Weston,93013500,123049886.0,1.3229250162610804
2012,North Stonington,8820230,12279150.0,1.3921575741222167
2012,Bethany,18911640,24097872.0,1.2742349156392572
2019,Trumbull,170836290,267664526.0,1.5667896206362244
2009,Stamford,902701280,818717296.0,0.90696370343022
2010,Guilford,96677799,117466903.0,1.2150349326839764
2012,Norwalk,568005908,638709585.0,1.1244770098412427
2019,Waterbury,321560804,519574581.0,1.6157895319853721
2002,Plainville,35872400,72641178.0,2.0249879573153735
2003,Willington,60900,92000.0,1.5106732348111658
2004,Thomaston,17257740,43197998.0,2.5031086341548776
2006,Chester,15906750,28019054.0,1.761456865795967
2006,North Canaan,6088630,10945182.0,1.797642819484843
2010,Danbury,262254210,264931915.0,1.0102103413325567
2009,Deep River,14817200,18930345.0,1.2775925950921903
2010,Trumbull,133223960,173934983.0,1.3055833425158658
2010,Chaplin,1795300,1697400.0,0.9454687238901577
2010,Willington,9992230,12259567.0,1.2269100090770528
2012,Coventry,30649200,39354847.0,1.2840415736789215
2012,Norfolk,5928200,7326635.0,1.2358953813973887
2014,Chaplin,4446700,4714904.0,1.0603152899903299
2015,Cornwall,9927700,11847804.0,1.1934087452279984
2016,New Hartford,22713846,29041355.0,1.278574971407308
2016,East Hampton,41325430,57488533.0,1.3911175999862555
2004,Haddam,25084750,56595550.0,2.256173571592302
2005,Manchester,173640380,405440335.0,2.3349426844147656
2007,Norwalk,516444772,788036271.0,1.5258868202852096
2009,Monroe,54814824,74660619.0,1.3620516048724338
2014,Farmington,113500560,176832122.0,1.5579845773448167
2017,Bloomfield,66096110,122797395.0,1.8578611509815026
2003,Thomaston,14190705,32036461.0,2.257566555009071
2005,Harwinton,16101510,29125484.0,1.8088666218261518
2007,Darien,297189981,449903306.0,1.5138575818947275
2013,Bridgewater,12239020,15035673.0,1.228503017398452
2013,Hebron,20616120,26792389.0,1.2995844513904653
2016,Granby,37718368,57638910.0,1.5281390223458235
2002,Groton,106990650,190976074.0,1.7849790986408625
2004,Groton,90808488,222313926.0,2.448162400853982
2004,Madison,113544490,223947856.0,1.972335742579847
2006,Tolland,47520800,82620435.0,1.7386162480429623
2017,New Fairfield,55435300,79339389.0,1.4312069926563038
2002,Hartford,236868727,265812464.0,1.1221931546919657
2004,Fairfield,521558140,1030238687.0,1.9753093816156335
2004,Warren,10402466,31225533.0,3.001743336628065
2010,East Windsor,24857340,31681556.0,1.274535247938838
2013,Stafford,87133839,29674936.0,0.3405672967077693
2017,Ashford,15628080,26625259.03125,1.7036807484508654
2017,East Granby,23560200,27032058.0,1.1473611429444572
2019,Deep River,20111550,27952713.0,1.3898835743639848
2020,Cheshire,126979332,247312971.5,1.9476631952985861
2020,New Haven,298776951,564999858.0,1.89104231805351
2020,Stonington,144966605,261912093.0,1.8067063997256472
2020,Canaan,7289100,14396201.0,1.9750313481774155
2004,Winchester,43710770,85296507.0,1.9513842240710928
2005,Lisbon,7571950,21887291.0,2.890575215103111
2012,Southington,120234271,174688004.0,1.452896936514881
2013,Middlefield,10541750,15914262.0,1.509641378329025
2014,Plainville,39357030,59230000.0,1.5049407945670696
2001,Windsor,69881340,124695206.0,1.7843848729861218
2003,Westport,371655380,901372472.0,2.4252910639958984
2008,Pomfret,6602600,10846710.0,1.642793747917487
2009,Westbrook,40896762,51404860.0,1.2569420532608424
2012,Kent,21218166,26450845.0,1.2466131615710803
2015,Hampton,4138500,7505715.0,1.8136317506342878
2017,New Milford,127442130,174545078.0,1.3696026423914918
2017,Sharon,25506920,38147626.0,1.4955794741191801
2005,Putnam,21700300,50571466.0,2.330450085943512
2006,Watertown,56238400,104748194.0,1.8625742197502062
2010,Madison,130826693,150106546.0,1.1473694133658183
2016,Cheshire,106651213,154764800.0,1.4511302370278714
2002,Sharon,13240200,25838477.0,1.9515171220978536
2019,Goshen,27419130,41315498.0,1.5068128711596611
2005,Scotland,2350830,5210900.0,2.216621363518417
2010,Vernon,46167039,57645460.0,1.2486280525809768
2007,Chaplin,4263300,8310154.0,1.9492304083691037
2010,Burlington,28656150,39052564.0,1.3627987011514109
2019,Waterford,84852399,131623815.0,1.5512091178470981
2013,Colchester,30842700,42960224.0,1.392881427371793
2014,Colchester,36160390,50301316.0,1.3910612136650076
2017,Mansfield,43392500,67630113.0,1.5585668721553263
2017,Barkhamsted,12388934,18247795.66015625,1.4729108783819698
2018,North Haven,352989946,185986462.0,0.5268888366582543
2019,Easton,70275580,95059597.0,1.3526689783278913
2001,Berlin,55655690,91141367.0,1.637592975668795
2020,Columbia,23751934,43380463.0,1.8263970841279704
2003,Hartford,187980626,402499126.0,2.1411734526301665
2004,Woodbury,60403510,116992947.0,1.9368567654429354
2011,Norwalk,450241390,448217791.0,0.9955055242699922
2014,Ellington,61573620,59106317.0,0.9599292196885615
2014,Newington,74968284,109299826.0,1.4579475501933592
2015,New Haven,188243757,331877118.0,1.7630179257418879
2009,North Canaan,7221130,7686189.0,1.0644025242586685
2013,Stonington,92452430,128056820.0,1.385110375141032
2010,East Haddam,24388830,30794163.0,1.262633877885901
2014,East Lyme,79380445,116953441.0,1.473328109964614
2015,Putnam,28504100,29083581.0,1.0203297420371105
2016,Cromwell,52868600,80907166.0,1.5303444010244267
2016,Woodbridge,43974680,60700392.0,1.380348691565237
2016,Voluntown,7752120,9720150.0,1.2538699091345336
2017,Beacon Falls,13107705,25915554.0,1.9771236841231932
2018,East Granby,23188100,42254142.0,1.822233904459615
2018,Portland,29899390,43053463.0,1.4399445272963762
2019,Bristol,146704460,235106992.1328125,1.6025892609727919
2002,Stamford,572986847,1253549590.0,2.1877458384310873
2008,Brooklyn,17426400,24184905.0,1.3878313937474178
2011,Westport,391356867,626011453.0,1.5995923562010732
2016,Salem,13797900,18107856.0,1.312363185702172
2018,East Haven,107068437,145130288.4140625,1.3554908662210368
2003,New London,49210,140000.0,2.844950213371266
2004,Berlin,78776080,146609537.0,1.8610920599247893
2005,Washington,52309840,100604590.0,1.9232440779784454
2006,Madison,140994140,238027729.0,1.6882100844758512
2007,New Fairfield,56689690,84617282.0,1.4926397022104019
2011,Woodbury,34469820,40429099.0,1.1728839605196661
2014,Burlington,32080114,46411145.0,1.4467263115087434
2017,Griswold,30795820,43759417.0,1.4209531358476573
2019,Woodbridge,45336170,67313697.0,1.4847680560576688
2020,Goshen,40394460,62465609.0,1.5463904951322534
2020,Suffield,81762220,139010761.96728516,1.7001833116479121
2004,Durham,17768980,44462132.0,2.502233217663591
2009,Willington,7547250,11829637.0,1.5674102487661068
2011,Pomfret,10076750,10076247.0,0.9999500831121145
2012,Canterbury,7948799,9498000.0,1.194897493319431
2015,East Windsor,29412240,43020512.0,1.4626737711918576
2017,Lisbon,11624010,17365917.0,1.4939695509553073
2019,South Windsor,119413815,216823859.0,1.8157351308138008
2001,Hartford,159624321,205866520.0,1.2896939433183243
2001,Simsbury,85870510,171812440.0,2.0008317174312813
2004,Canaan,6205900,16323400.0,2.6303034209381395
2006,East Windsor,50415860,99763534.0,1.9788125006694322
2013,Hartford,107860208,187282189.0,1.7363418119868637
2017,Essex,52660000,82021361.0,1.5575647740220282
2001,Wilton,108423840,268828318.0,2.4794207436298143
2004,Waterford,68532056,134430775.0,1.9615751058161746
2004,Sharon,26296440,53215086.0,2.023661225625978
2005,Burlington,30845270,61458010.0,1.9924614049415033
2010,Rocky Hill,50850506,65435013.0,1.2868114429382473
2015,Union,2218910,2542500.0,1.1458328638836186
2016,Portland,29816190,40919893.0,1.3724051597471039
2016,Union,2819570,4085000.0,1.4488024769734391
2018,Guilford,129474772,220062485.5,1.6996553235868992
2019,Canterbury,13515320,21895706.0,1.6200656736207504
2019,Norfolk,11480700,15493349.0,1.3495125732751487
2009,Goshen,14360400,16802310.0,1.1700447062755912
2011,Middletown,117927060,123283399.0,1.0454207795903672
2016,Watertown,67246240,99855939.0,1.4849297001587003
2019,Franklin,7881068,10189762.0,1.2929417688059537
2019,North Branford,37440900,58343206.0,1.558274667542714
2003,East Hartford,78923070,144020751.0,1.8248244904816804
2006,New Fairfield,71683100,107760091.0,1.5032844701191774
2007,North Branford,28480910,45418490.0,1.5946993968942706
2009,Ledyard,28772620,37057735.0,1.2879513579229143
2009,Waterford,61728828,71929796.0,1.1652545225708806
2012,Derby,16172570,18956036.0,1.1721103077618462
2012,Easton,43931610,61332979.0,1.396101326584662
2020,Colchester,58979770,118496302.0,2.0091007815052517
2020,East Granby,26506300,49723150.0,1.87589931450259
2001,Bristol,119249970,216517064.0,1.8156571779431057
2007,Thompson,14647120,25211962.0,1.7212914211121366
2008,Seymour,39802398,50830126.0,1.2770618996373033
2009,Darien,367719630,496150694.0,1.3492635516901832
2009,Salisbury,31826473,37356709.0,1.1737621382048837
2014,Hamden,206771281,181991513.0,0.8801585603176681
2017,Woodbury,44910750,56633415.0,1.2610213590287402
2003,Morris,11321110,17093385.0,1.5098682903001561
2003,Suffield,20100,9000.0,0.44776119402985076
2013,Sprague,3697890,4809563.0,1.3006235988631354
2014,Portland,26375660,33937542.0,1.2866992522651566
2020,Monroe,125288300,211958286.0,1.6917644025818852
2001,Lebanon,14965457,27516497.0,1.8386673390595423
2015,Norwalk,2381803734,853812164.0,0.358472930330875
2016,Somers,26690610,87107486.0,3.263600419773096
2001,North Canaan,5424720,8981344.0,1.6556327331180227
2003,South Windsor,100320630,140074949.0,1.3962726210949832
2003,New Fairfield,59313290,131714800.0,2.220662519310596
2005,Bridgewater,12199000,24415537.0,2.0014375768505617
2008,Salisbury,24454700,29898622.0,1.2226125039358486
2013,Ansonia,27521950,34969505.0,1.2706041904734222
2014,Andover,6810930,8490387.0,1.246582625280248
2014,Orange,55040700,95636897.0,1.7375668732410743
2015,New Fairfield,67386900,96737408.0,1.4355521325361458
2015,Bolton,12899913,18277824.0,1.4168951371997625
2019,Sprague,6675580,9698100.0,1.4527726429763406
2020,Canton,57417640,94552457.0,1.6467492742648426
2002,Milford,196546700,395053353.0,2.0099719455986795
2005,Milford,160693610,431054999.0,2.6824650899310805
2006,Waterbury,202556443,455612350.0,2.2493105785827807
2009,Cromwell,44376671,56000835.0,1.261943127730334
2009,Plymouth,21383010,26849721.0,1.2556567573975788
2012,Middletown,124598688,157292787.0,1.262395210774611
2002,Chaplin,2715000,6840700.0,2.519594843462247
2002,Brookfield,146799607,187440942.0,1.2768490722185653
2008,Newtown,67612480,86893854.0,1.285174778384109
2011,Eastford,1534950,2082913.0,1.3569907814586795
2018,Canaan,6684900,7734931.0,1.157075049738964
2019,Beacon Falls,22849427,44089076.0,1.9295484302516646
2002,New Haven,265603714,353668813.0,1.331565766433522
2004,Newington,90611780,231076832.0,2.5501853291040084
2007,East Haven,85094920,108836903.0,1.2790058795519168
2008,Southington,110256144,155264515.0,1.4082164437022213
2008,Newington,67941486,103545092.0,1.5240333718929846
2010,Naugatuck,51257518,49212066.0,0.9600945952942942
2014,Cromwell,60863160,76940313.0,1.2641524528138204
2007,Portland,27088880,39171434.0,1.4460337230627476
2007,Trumbull,145495200,209215490.0,1.4379545854433686
2008,Deep River,9824990,14155893.0,1.4408048252466414
2009,New Britain,103614009,108022244.0,1.0425447778977455
2011,Kent,15466400,20595523.0,1.3316300496560285
2016,Willington,10063180,12738210.0,1.2658235269566875
2017,Wallingford,179138100,220525850.69921875,1.2310382364177066
2018,Putnam,32732439,46057773.0,1.4070987194079854
2020,South Windsor,213467751,387868029.0,1.816986533951913
2001,Glastonbury,118138970,247914191.0,2.098496296353354
2005,Weston,131087988,224067627.0,1.7092918307663705
2017,Manchester,209986750,327618631.0,1.5601871594279162
2017,Clinton,58684111,80237937.0,1.367285550257377
2002,Barkhamsted,8501767,15994244.0,1.881284678820297
2004,Rocky Hill,80355160,139812222.0,1.7399283630323181
2006,Chaplin,3087700,6406250.0,2.074764387731969
2007,New Canaan,313906300,565265050.0,1.8007445215339737
2008,Wilton,116292514,151346333.0,1.3014279921749736
2011,Hamden,148391690,148054514.0,0.9977277972910747
2011,Montville,3722830,5491180.0,1.475001544523924
2012,Willington,15163620,18625503.0,1.228301883059586
2016,Fairfield,520099859,758071596.0,1.457550089433883
2019,Lebanon,22924280,36018580.0,1.571197874044463
2020,Brookfield,121862961,191050831.0,1.5677514269491613
2001,Manchester,128565010,228438255.0,1.7768306866697245
2004,Bristol,153280345,319296248.0,2.0830866997330935
2005,Bloomfield,63745260,140307002.0,2.2010578041410453
2010,Bristol,91813270,107180183.0,1.167371372351731
2012,Monroe,81965571,100453342.0,1.2255553249302686
2013,Trumbull,163610335,227319067.0,1.3893930783773532
2013,Naugatuck,41374210,115147366.0,2.7830710483656365
2005,Lebanon,15255940,32334650.0,2.119479363447942
2010,Wethersfield,58900800,69514486.0,1.1801959565914215
2012,Andover,6074740,7906884.0,1.3016003977124946
2013,Ellington,44070420,73320138.0,1.6637040899542141
2016,Orange,48877830,80589498.0,1.6487945148137715
2018,Wolcott,47927850,68762824.0,1.4347153899037826
2019,Bozrah,5008480,8803872.0,1.7577931827620357
2007,Bolton,12039400,19737279.0,1.6393905842483845
2007,Suffield,32800960,71943530.0,2.193336109674839
2008,Somers,22028150,33648850.0,1.5275386267117301
2010,Stamford,779873000,804718546.0,1.0318584513119444
2004,Griswold,26010990,61124171.0,2.349936353825825
2009,Bristol,123717981,165537688.0,1.3380244865134034
2015,Thompson,25258930,35581972.0,1.408688808274935
2001,Scotland,2913760,5199527.0,1.7844733265608699
2001,Thomaston,17961560,32050119.0,1.7843727938998617
2003,Meriden,135005740,264541502.0,1.9594833671516485
2004,Ansonia,40675550,83642196.0,2.0563261222036333
2004,Middletown,139408910,276511035.0,1.9834531021008628
2004,Windsor,124470520,211763402.0,1.701313708659689
2005,Bethel,65408910,123316338.0,1.8853140650104092
2005,Guilford,129229168,247828321.0,1.9177429123431329
2003,Killingworth,27195620,50826081.0,1.8689068680912588
2006,Thompson,20015560,31696113.0,1.583573629716081
2010,Bloomfield,44090620,58723065.0,1.331872062583833
2007,Bloomfield,56398680,129265365.0,2.2919927381279135
2009,East Hampton,34164056,46265022.0,1.3542016790980556
2009,Andover,6919700,8853286.0,1.2794320563030188
2012,Groton,100039510,127815299.0,1.2776481911996571
2014,Hampton,2682600,3713096.0,1.384140758965183
2015,East Haddam,37158730,51274029.0,1.3798649469451727
2020,Woodbridge,52779037,88757514.0,1.6816811947516208
2001,Kent,13517000,32227113.0,2.3841912406599097
2001,Stafford,115797490,37503087.0,0.3238678748563548
2009,Bolton,11377830,16375725.0,1.4392660990716155
2011,Willington,13962060,23726075.0,1.6993248131006455
2011,Mansfield,30140220,44331571.0,1.470844307042218
2016,Salisbury,43536350,58013198.0,1.3325232363301012
2017,Meriden,113833614,168071503.0,1.4764663713479218
2003,Eastford,3454280,7706858.0,2.231104021677455
2003,Woodstock,25428720,50204260.0,1.9743132961470338
2007,Westport,470592398,760824550.0,1.6167378674910087
2009,Bridgeport,534771820,219090796.0,0.40969024134442983
2009,Glastonbury,144653950,193512815.0,1.337763780387608
2014,Darien,443319420,751938319.0,1.6961547026295396
2017,Franklin,3994300,7050217.0,1.7650694740004507
2006,Bristol,131277647,307101076.0,2.3393249575839823
2006,Clinton,79508548,121992473.0,1.534331541307986
2010,New Haven,142832356,157761563.0,1.1045225845045923
2018,Glastonbury,277075463,359690267.0,1.2981671603306135
2003,Naugatuck,76165180,140280864.0,1.8417978399053216
2004,Burlington,31204510,59207566.0,1.897404125237025
2006,Newtown,137167700,266082994.0,1.9398371045078397
2006,Woodstock,29624620,44826523.0,1.5131509872531699
2009,Ridgefield,223142924,272716954.0,1.222162679915407
2014,Ledyard,35241530,44142352.0,1.25256627620878
2014,Southington,136135065,205687441.0,1.5109071347635528
2014,Scotland,3054570,3529279.0,1.155409435697987
2016,Old Lyme,59277710,73779040.0,1.2446337754950385
2004,Hartford,250840651,551075232.0,2.1969135776162534
2004,Norwalk,881274989,1348329712.0,1.5299761468664579
2004,Simsbury,139046419,255518591.0,1.837649562194047
2007,Woodbury,25340550,48097226.0,1.8980340205717714
2008,Hebron,20611230,27535996.0,1.335970536450275
2013,Milford,200259380,255520502.0,1.2759477333845735
2014,Wallingford,240237320,300315186.0,1.2500771570378824
2015,Farmington,161469200,245752695.0,1.5219787736608592
2018,Hamden,238995541,217115425.0,0.908449689444206
2003,Union,350,50000.0,142.85714285714286
2005,West Hartford,186691170,500251379.0,2.679566360851453
2008,Redding,43807350,47755772.0,1.0901314961986972
2008,Sterling,9706560,9988387.0,1.029034694062572
2012,Prospect,24341226,33728039.0,1.3856343554757677
2012,Hartland,2970530,3840605.0,1.2929022766980975
2015,Warren,14476792,22840444.0,1.5777282701858257
2020,Avon,164665057,266377219.0,1.617691232451339
2006,Darien,449654550,800192271.0,1.7795711641303307
2011,Bristol,99432210,109196824.0,1.0982037309640407
2002,Durham,21977470,44258317.0,2.0138040001874646
2003,Ashford,9598810,18080419.0,1.8836104683809765
2004,Goshen,23252820,64774118.0,2.785645698027164
2004,Union,2781180,5747597.0,2.0666037437346736
2012,Colebrook,4356140,4832165.0,1.109276790920402
2013,Haddam,25724181,32740088.0,1.2727358744676847
2013,Goshen,17501190,22242683.0,1.2709240343085242
2016,Winchester,26744699,36366627.0,1.359769537881133
2017,Oxford,56504810,80389303.25,1.4226984083301935
2019,Union,1257170,1618800.0,1.287654016561006
2007,West Haven,95386070,133371019.0,1.3982232311279834
2008,East Haddam,21219230,27701893.0,1.305508870962801
2014,Southbury,84699565,128321916.0,1.5150244986500225
2018,Manchester,221884250,433880096.7578125,1.9554344067134666
2006,Sherman,24496290,48118917.0,1.964334884996871
2007,Pomfret,9420700,14183682.0,1.5055868459880901
2011,Barkhamsted,6428580,8038530.0,1.2504363327515564
2012,East Hampton,38673963,51373624.0,1.32837754434424
2017,Norfolk,11428550,13800348.0,1.207532714123839
2020,Chester,19616155,31836119.0,1.6229540906462046
2003,Norwalk,347820,765000.0,2.19941348973607
2007,East Lyme,95349740,144167922.0,1.5119907196390887
